age,androidID,androidVersion,language,manufacturer,pid,sex,timestamp
25,f9eaf6a6196690a2,Android 14,en,samsung,672ba4b271f34057eb25f408,Female,Feb 23 19:50:20
35,c2d365aac195d4c5,Android 14,en,samsung,607a7b7d300ce256f51706bd,Male,Mar 9 18:28:55
49,12fc49c17ea3390f,Android 14,en,HONOR,6664aff313672880c2b0ba59,Female,Mar 27 19:53:17
51,535fee4d0b395e54,Android 14,en,samsung,604f94204496533d323b7d8e,Female,Mar 9 21:26:40
56,a1e9ba18ee18e863,Android 10,en,Xiaomi,5e6faa06b59a32573bcde7f1,Male,Mar 9 21:45:25
39,7e442547ee284734,Android 14,en,samsung,5be750e4af5ae80001f0ce07,Non-binary,Apr 3 20:11:40
36,6862daba3898ae54,Android 14,en,samsung,67d01671bd666a9fb9c603fb,Female,Apr 4 01:14:59
38,3866a1e37dae1c38,Android 14,en,samsung,6659f77ee4fd69fa455cc86a,Female,Mar 30 21:19:50
55,c3319a179a4528e8,Android 11,en,samsung,5d6d729b200019c12498,Female,Mar 11 21:01:02
42,59a4b2549708959a,Android 14,en,samsung,6761944486ce83768479f637,Female,Mar 12 20:17:02
53,8106b520203b58eb,Android 14,en,OnePlus,67bdc00c1e1046403c4b5d00,Male,Mar 19 15:24:46
36,7af38a8aec90ceba,Android 14,en,motorola,66af8c7213537c8f0265065b,Male,Mar 11 20:57:05
40,3f03ea9f79ece8d2,Android 14,en,samsung,665910d96668b5777caab931,Female,Mar 9 17:15:34
37,435232e0f16d52d0,Android 14,en,motorola,661f7e6d188e3d7530659024,Female,Mar 12 19:10:22
44,00d791c49668d482,Android 14,en,samsung,6772c5ec9aa61cab9a3cd8c6,Female,Mar 29 14:24:20
44,f9889e2e24552c95,Android 14,en,samsung,5dc0e5d927d0520845f47856,Male,Apr 4 01:28:36
25,a0e3edcc02fac397,Android 10,lt,Xiaomi,5a9fa90f873cda00010d29d8,Male,vas. 28 00:41:28
27,4da3f1f4b8abfd40,Android 15,en,Google,5ff61f4fe313fd16fbeb5af6,Male,Mar 11 21:13:35
30,aeca342a92b471a8,Android 14,en,samsung,60e05286953f8b51d4f6661c,Female,Feb 23 18:41:14
42,e2e491f49b6f9798,Android 14,en,HONOR,5ad3bfc75b53cb0001f35839,Female,Mar 27 19:50:20
41,2a484fda489dc033,Android 14,en,samsung,66df49caa6df07d77078a5fd,Female,Mar 30 15:35:59
38,cf4281e7ecc7991c,Android 14,en,samsung,66c778d7415769449f19521a,Female,Feb 25 18:41:30
32,0fe191f9ca231157,Android 15,en,Google,665629a30c7e3f40e8f3d1d5,Non-binary,Mar 11 15:01:19
22,d4bc23e63dbda297,Android 14,en,samsung,6750bac54816fc7028a10a46,Female,Mar 18 20:31:56
50,8229d0add522e5bf,Android 10,en,samsung,6760eb1bd8f2c26a870800b6,Male,Mar 12 20:11:17
35,00fb6cd95b6fc378,Android 14,en,samsung,67629986c6e5e88e4bc23efb,Male,Mar 12 23:59:13
39,3219a95a52ce3a57,Android 10,en,samsung,5ef39c45c154ff120c5e84b8,Male,Mar 9 21:48:34
35,8fa7abf682eac32a,Android 14,en,samsung,6761691d303e103c60277b9e,Male,Mar 18 21:41:55
28,2c01d3880e4f8c4e,Android 14,en,samsung,660b46f30e0078173c658320,Male,Mar 12 23:54:18
42,59a4b2549708959a,Android 14,en,samsung,6761944486ce83768479f637,Female,Mar 12 20:16:13
41,94dc2e5d9d5f38d6,Android 14,en,samsung,675c96124915bd60cd4720e3,Male,Mar 13 19:30:25
38,bff82403849f47f1,Android 14,en,samsung,672a56a48f56810ca01f305c,Male,Mar 19 16:05:59
56,c8608b1e3f2ac153,Android 11,en,motorola,56c893c9dfea6c000db24a52,Male,Mar 11 20:49:52
19,b8ff31f9392741e0,Android 10,en,HUAWEI,6761e961a019a707f32b9bb9,Male,Feb 23 18:19:46
41,ef9402a338124f55,Android 14,en,samsung,6762aff824e4f12278e6d3fd,Male,Mar 11 21:01:21
37,73695bcf9b47ffe7,Android 13,en,motorola,5a1d8489ab721b0001ef95cc,Male,Mar 9 21:05:42
28,34f5283446a28409,Android 14,en,samsung,6746a9ccaebffc616adf8386,Female,Mar 9 17:53:15
54,e2525aa5f43bb47e,Android 11,en,samsung,63f93b47bb0c1a1aca131480,Male,Feb 19 23:55:31
59,066be985b0418e2e,Android 14,en,samsung,66de746bcfef35f46e85ed0f,Female,Mar 19 15:29:10
52,3f9314da574f3c96,Android 13,en,samsung,59d3b07947f4e80001a6c551,Female,Mar 9 21:25:39
33,9b838eb13b35e626,Android 15,en,motorola,5ed9ee3afd7ffe59917d3dfa,Female,Mar 27 20:11:28
35,eac807d6ac51904a,Android 14,en,samsung,5e388c2b5d3ba8069613476e,Male,Feb 19 23:42:49
27,de30a2e1923a66b4,Android 11,en,OnePlus,66f69dcc061074dacb886b52,Male,Feb 26 14:50:35
39,1953c368f5d72551,Android 14,en,motorola,67103fab90f232f5d3e1e2ae,Female,Apr 3 19:33:04
19,56c23ab894f6c1bc,Android 15,en,Google,679a0366c8793f4845badfd6,Male,Feb 28 19:33:14
27,409181b4b7dd23d1,Android 12,en,samsung,675a35800dc96d8b29feb198,Female,Apr 3 19:40:58
42,492c5a2f9e44b87f,Android 13,en,motorola,59a9c0291b7a550001d6392e,Female,Mar 9 21:43:48
46,099f0080ea6e9b48,Android 14,en,samsung,664521e03117b782ed4fff45,Male,Mar 12 20:27:51
60,1a73c3bebd058a06,Android 14,en,samsung,65bfb574e58552a0a8fc639d,Female,Feb 27 15:59:09
43,c2f417e8f8162990,Android 14,en,samsung,5ef78f819d93424af2af742b,Male,Feb 27 16:51:49
35,440af67d06cbbb18,Android 14,en,OUKITEL,66187caf2a94f9051c85c431,Male,Feb 24 19:16:27
27,4dc256e05193f49f,Android 14,en,samsung,5f32b7f2702b80025cb3ca31,Female,Feb 28 19:31:17
43,1c978d5449159b70,Android 14,en,samsung,67a3c5e78c483a6d93114bb5,Female,Mar 13 19:32:20
51,f0861f8e496fe20b,Android 14,en,samsung,5e94b43203807b339eef4947,Male,Mar 9 21:14:26
62,731f46b91f870c0d,Android 14,en,samsung,60738fbda3b86b009ad47e8c,Male,Apr 3 17:52:07
56,825a4eb42458e39e,Android 12,en,samsung,67bb656dc1e9bf4830163699,Female,Mar 19 22:05:40
36,6a599f3a1eb037fe,Android 10,en,samsung,6600a119385d8631c41cd795,Male,Mar 18 15:56:15
59,a15ce124f80f1edd,Android 12,en,samsung,66c5fd9cd88ff2690f682cec,Female,Feb 25 19:58:59
42,878ec4fbfa0c9b31,Android 14,en,samsung,6773d379776c921aa20c5d65,Male,Feb 23 18:23:33
46,099f0080ea6e9b48,Android 14,en,samsung,664521e03117b782ed4fff45,Male,Mar 12 20:27:39
57,4609416022594417,Android 14,en,samsung,63b78e4b32852d98febe4116,Female,Feb 25 20:20:34
31,75be7063b4d3b202,Android 14,en,samsung,60c1027492de3b44ad9cb833,Female,Mar 28 19:26:54
32,3f8d400732f62ae8,Android 14,en,OPPO,659abd5f91e97f5662906c3f,Male,Mar 5 14:11:38
50,8b139826c8a273dd,Android 13,en,Xiaomi,67d1812e25158f41a334bede,Male,Mar 19 19:27:47
53,1241c164cd1f12dd,Android 10,en,HUAWEI,5a2ef9bbfd28e9000102ee68,Female,Feb 28 19:25:35
43,53280d557dbb6f74,Android 14,en,samsung,66d1a7a177452f9dc664c908,Female,Feb 20 12:51:25
32,7143bdc1a966669b,Android 14,en,samsung,664f72c5d72f85c6cd81ae82,Female,Mar 19 15:25:38
23,77866d2b260fccb1,Android 15,en,Google,60dd22f2f6aa769f57e2c55b,Female,Apr 6 17:58:20
32,36898210f9bb6862,Android 15,en,Google,6651e1661b8d1a6b23f4e4d1,Female,Mar 14 00:27:04
56,0a8382b709339133,Android 13,en,OPPO,651ac88823e71c05dbc1ff63,Male,Feb 25 09:13:09
53,255d580dd51eabea,Android 14,en,samsung,676937f22f44a9f6c9a8294c,Male,Feb 25 09:00:58
56,6eb218ebbdf119ce,Android 12,en,Reliance Communications,5e6b11a7704ee10c3d5e203a,Female,Mar 13 17:36:41
39,4f6528cad7d22ddf,Android 14,en,samsung,67461d8bda44253bd6e2d689,Female,Feb 20 06:58:59
29,329304267d464ed2,Android 14,en,Google,6659e42c49aec7ddd44444fa,Female,Feb 20 08:14:32
40,6f7c778ab5cea341,Android 14,en,Google,5f8cbc5c355ea745e6cef2ca,Female,Feb 19 19:55:46
46,8644553a03792e82,Android 12,en,samsung,632b947efa9da6a9bde31f94,Male,Feb 25 19:37:30
36,a16bdc32d999b3f8,Android 14,en,samsung,677d6540e5769779d2fb691e,Male,Mar 31 19:47:44
38,cf4281e7ecc7991c,Android 14,en,samsung,66c778d7415769449f19521a,Female,Feb 25 18:41:57
24,b2cae1de2f5e3d4f,Android 13,en,Google,67768cb5c78ca6942d258211,Male,Feb 25 00:10:26
47,02d38c23efb6c4f3,Android 14,en,samsung,664f402dab9a2b0829103e37,Female,Mar 27 20:19:56
26,c6fc54cbde698b6c,Android 14,en,samsung,6400d8e645e80091a53f9b21,Male,Mar 13 20:25:29
39,c08fa953dd4a2fe6,Android 14,en,samsung,67617e1e4f544c35e920d809,Female,Mar 19 13:15:05
44,a0bc1d5625be8c4c,Android 14,en,samsung,65456ebc819cdd5600552571,Male,Mar 9 21:18:10
23,3a170781ea967458,Android 14,en,samsung,6778196d593a47bb67125931,Male,Mar 18 17:02:24
12,7f161ae4fbe6871a,Android 14,en,samsung,testApk,Non-binary,Feb 27 00:27:21
22,4e3de49d638b877e,Android 13,en,Google,66e1dafefc1b4494c8365ff4,Male,Feb 24 23:51:47
36,6862daba3898ae54,Android 14,en,samsung,67d01671bd666a9fb9c603fb,Female,Apr 4 01:14:35
42,49c8e411c56e7055,Android 14,en,samsung,676eec2c34757c5868cd0927,Female,Mar 11 21:02:23
28,d1bae55f60e92b62,Android 14,en,motorola,655f8d942652c2e7defdb816,Female,Mar 29 14:01:21
41,f4019f07ee8f6fbf,Android 11,en,OnePlus,673bd765ee70ef05996bfede,Male,Feb 23 18:46:40
38,e9288d16acc9e37d,Android 13,en,Xiaomi,665585d3c2b72eebdd366c8e,Male,Apr 7 00:37:39
20,7c87d11eb63e47bc,Android 14,en,samsung,668845380fafa800ff4b3805,Female,Mar 30 16:03:23
37,0a0ee3d496d2cb0a,Android 15,en,Google,6283e5cee0833a2307ddeb0f,Male,Feb 25 00:30:27
36,84d578de49e75bcc,Android 14,en,samsung,5a6d5ae19d65ec00017e9bae,Female,Mar 12 19:14:29
30,ea4a3cb381a8a56b,Android 14,en,samsung,5e53e8d0a0002e3ee42be086,Female,Mar 18 20:40:25
28,5073def25f18b254,Android 14,en,samsung,5fe18e1c8929f0c2a41e43d8,Male,Mar 19 14:16:36
46,c185980bb3e6f5f6,Android 14,en,samsung,63cedafa29d08471b828a96a,Female,Feb 23 18:34:14
53,503b1d812756dd30,Android 15,en,Google,591d369e88bbb500013a8517,Male,Mar 11 14:00:42
53,e2a5a2b88607aafa,Android 14,en,motorola,660ff598a3391e9b7d8feab4,Male,Mar 19 15:28:31
27,f1cd1519b255570d,Android 10,en,samsung,5c328af23f5d210001834f82,Non-binary,Mar 31 19:45:45
41,c97dd3a8e09974b1,Android 14,en,OnePlus,62da5ffdd666bd90db19b4e9,Female,Feb 23 12:19:27
41,817e6fcc3941fc95,Android 14,en,samsung,65c0e2c666436599bbc02dc8,Female,Mar 31 14:45:49
49,6ac766ec0787d32b,Android 13,en,samsung,63d1957ba19644f6c749c001,Female,Mar 18 21:28:34
22,191bcc6182bff4fd,Android 14,en,Google,6653501881b7b5eff113a16d,Male,Feb 26 01:07:26
54,511dfe7b3ca18fc0,Android 14,en,samsung,653bee4e20de33bbd08c46c5,Male,Feb 25 08:44:08
28,997e5f613e9cc6b4,Android 15,en,Google,55cff4a834e9060012e57407,Female,Mar 13 00:01:06
39,1280cbc445b51a19,Android 15,en,Google,64f099c25c767cde5f8faa46,Male,Feb 23 11:43:06
31,ec8795d5d600e9d7,Android 14,en,samsung,5c0522c69cfe460001799999,Male,Mar 18 20:44:06
49,6ac766ec0787d32b,Android 13,en,samsung,63d1957ba19644f6c749c001,Female,Mar 13 17:07:49
36,1993b67535f134ea,Android 15,en,Google,6720fbc84253185973cbe564,Male,Feb 25 08:47:18
35,5069d714c34fe3dd,Android 15,en,Google,56d7623f04c67d000c7b9de6,Female,Mar 18 20:38:22
20,03451b75f149ca36,Android 13,en,TECNO,6763ad169c28727881cabe7f,Female,Mar 19 00:12:30
44,12d2ce846dc9e7c9,Android 10,en,HUAWEI,5ec45929c1172f33f0a9d331,Female,Mar 19 19:29:44
45,ee0bc7dc1a195c64,Android 10,en,OPPO,https://app.prolific.com/submissions/67c20e4baf735e177f336a2c,Female,Mar 1 17:04:21
26,cca705307fb0ee4e,Android 9,en,samsung,55a8c7affdf99b33d8aff983,Male,Mar 9 15:13:41
19,b8ff31f9392741e0,Android 10,en,HUAWEI,6761e961a019a707f32b9bb9,Male,Feb 23 18:20:26
35,fc9a6b44b4eeb6fd,Android 14,en,samsung,62d159b0e1b591ec1e8e27c8,Male,Feb 27 21:52:20
45,9533d106de977626,Android 14,en,Xiaomi,634d7398662c6fe8321aa554,Male,Feb 25 08:50:59
55,ed0e987519607cce,Android 13,en,samsung,5c5ca0ce4ee81200018eaf51,Female,Mar 11 21:03:13
33,db17676fd20fd34a,Android 15,en,Google,6659f68e2b387f043c276d92,Male,Mar 11 20:54:37
46,82582872e31593f2,Android 15,en,Google,5c49484a6d9ae80001a1aa72,Male,Apr 6 11:34:51
39,a5b1c6388c43a0ad,Android 15,en,Google,5928df79366dc80001d0b788,Male,Feb 24 18:56:30
24,f6fe196aecb54960,Android 15,en,Google,6658b7f8aab263fcab6c8f97,Female,Feb 28 19:28:57
44,f7e8cd99fdc08f02,Android 15,en,Google,67366fdf3695cee0c68c6339,Female,Feb 25 18:48:50
43,cb454f893f64da60,Android 14,en,samsung,666382ae8e2b0242b661879a,Male,Mar 11 17:05:44
42,90a55ada4b4e5ca6,Android 14,en,samsung,5c000ea973ca150001c3a65f,Male,Apr 6 12:45:08
37,cc4e5a9523e53e8d,Android 15,en,Google,5588b2bffdf99b7a7714efd1,Female,Mar 31 19:49:51
21,674ba0d42e763f83,Android 14,en,samsung,676071994f8552a8e0398a21,Female,Mar 2 14:02:27
44,00d791c49668d482,Android 14,en,samsung,6772c5ec9aa61cab9a3cd8c6,Female,Mar 29 14:26:38
47,02d38c23efb6c4f3,Android 14,en,samsung,664f402dab9a2b0829103e37,Female,Mar 27 20:13:59
48,049c7178003e369c,Android 14,en,samsung,678ce1ebd56c85701ebce209,Male,Mar 18 20:40:13
57,0215687a39c3123b,Android 14,en,motorola,63748732f140188d25f70dbf,Male,Feb 23 18:33:13
45,ee0bc7dc1a195c64,Android 10,en,OPPO,https://app.prolific.com/submissions/67c20e4baf735e177f336a2c,Female,Mar 1 17:04:47
29,38ecabba4e13f933,Android 14,en,samsung,62df0a2b7302265dcb0b7c58,Male,Feb 25 19:42:21
53,dae56b03f6212986,Android 14,en,samsung,6548f960db60a00d76e92695,Male,Mar 12 18:40:56
50,88a93125aa78b8f6,Android 14,en,samsung,66be3ed60ce8896e4feb1003,Female,Feb 25 18:42:47
46,dbc2a036a5ebc12a,Android 13,en,SKY DEVICES,60c029faa1d9b671a584f3ca,Female,Mar 19 15:27:46
49,6ac766ec0787d32b,Android 13,en,samsung,63d1957ba19644f6c749c001,Female,Mar 14 20:55:41
54,6bfa869b2d919521,Android 14,en,samsung,643918b7df602a9f3f3f66d7,Male,Feb 20 07:58:01
50,a4a362639690718a,Android 14,en,samsung,66293ce3dba0764775195e58,Female,Mar 12 20:06:51
32,6ef4802cfdd29c52,Android 14,en,motorola,6703370d69c922c9c282ef5c,Female,Mar 9 16:29:26
34,54f4b923d662017c,Android 14,en,samsung,661db80bbbbc4861da7f75dd,Male,Mar 29 17:55:40
37,2958d2d993c52423,Android 15,en,Google,5869950b8596530001079aba,Male,Mar 2 14:45:08
53,0230b5b64a02adb0,Android 14,en,samsung,6784409c334eaf1d8e0dd1fb,Female,Mar 18 16:58:11
35,6864f8b7d30a2680,Android 14,en,Xiaomi,5e8f8ebc09b58f28c329da6f,Male,Feb 20 14:12:33
